,w,h,label
213,313.999938965,370.999938965,True
214,308.999938965,382.999938965,False
215,308.0,397.0,False
216,76.4305725098,54.2358970642,False
217,308.999938965,354.999938965,True
218,308.0,369.0,False
219,308.0,363.0,True
220,419.314331055,263.750823975,False
221,296.0,351.0,True
222,389.423675537,203.509475708,False
223,77.0,60.0,True
224,62.1847953796,77.2121429443,False
225,77.0,61.0,True
226,309.0,315.0,True
227,297.0,314.0,True
228,326.0,329.0,True
229,242.999969482,296.999938965,False
230,479.0,639.0,False
231,479.0,639.0,False
232,479.0,639.0,False
233,479.0,639.0,False
234,479.0,639.0,False
235,479.0,639.0,False
236,479.0,639.0,False
237,479.0,639.0,False
238,479.0,639.0,False
239,479.0,639.0,False
240,479.0,639.0,False
241,479.0,639.0,False
242,479.0,639.0,False
243,479.0,639.0,False
244,479.0,639.0,False
245,479.0,639.0,False
246,479.0,639.0,False
247,479.0,639.0,False
248,479.0,639.0,False
249,479.0,639.0,False
250,479.0,639.0,False
251,479.0,639.0,False
252,479.0,639.0,False
253,479.0,639.0,False
254,479.0,639.0,False
255,479.0,639.0,False
256,479.0,639.0,False
257,242.940185547,140.940261841,False
258,400.570404053,280.701782227,False
259,387.0,306.0,True
260,448.352783203,252.663024902,False
261,447.185272217,228.303604126,False
262,458.384399414,266.207305908,False
263,271.999938965,401.999938965,False
264,263.999938965,370.999938965,False
265,250.999969482,379.999938965,False
266,245.0,376.0,False
267,244.0,395.0,False
268,358.502410889,226.594711304,False
269,334.59375,237.868530273,False
270,369.674560547,200.562225342,False
271,357.960540771,224.129669189,False
272,249.0,371.0,False
273,334.0,264.0,True
274,394.626861572,286.073852539,False
275,261.737579346,260.471954346,True
276,395.104309082,267.438781738,False
277,465.0,250.0,False
278,256.0,395.0,False
279,279.533416748,314.695617676,True
280,251.0,356.0,False
281,274.429321289,323.718658447,True
282,252.0,363.0,False
283,277.031097412,331.060455322,True
284,276.236206055,332.377288818,False
285,215.858978271,290.235015869,False
286,356.0,259.0,False
287,398.0,398.0,True
288,252.999969482,421.999938965,False
289,229.999969482,399.999938965,False
290,236.0,379.0,False
291,338.0,269.0,True
292,274.0,339.0,False
293,167.119934082,141.13684082,True
294,339.765655518,257.907165527,False
295,235.0,329.0,False
296,235.0,335.0,False
297,231.0,254.0,True
298,293.520385742,213.376525879,False
299,235.999969482,269.999938965,True
300,242.0,289.0,True
301,242.0,294.0,False
302,342.999938965,320.999938965,True
303,351.903564453,245.182373047,False
304,268.069366455,226.874511719,True
305,244.0,419.0,False
306,254.0,407.0,False
307,294.643371582,184.492431641,False
308,252.0,401.0,False
309,255.0,352.0,False
310,249.999969482,346.999938965,False
311,254.0,365.0,False
312,254.0,377.0,False
313,252.0,362.0,False
314,238.0,321.0,False
315,245.999969482,370.999938965,False
316,239.0,380.0,False
317,232.0,465.0,False
318,236.075164795,189.676116943,True
319,356.0,270.0,False
320,285.0,260.0,True
321,253.636230469,287.281402588,True
322,251.448776245,288.369049072,True
323,284.0,254.0,True
324,286.0,251.0,True
325,366.577880859,265.269683838,False
326,231.999969482,311.999938965,False
327,333.549530029,203.435455322,False
328,429.0,308.0,False
329,431.999938965,320.999938965,False
330,414.0,363.0,True
331,216.053329468,365.69921875,False
332,373.0,271.0,False
333,373.0,288.0,True
334,290.592102051,379.726318359,False
335,373.0,302.0,True
336,300.827545166,380.514831543,False
337,321.701171875,383.07119751,True
338,215.874252319,169.557418823,True
339,452.568786621,224.917007446,False
340,375.0,340.0,True
341,395.221740723,285.535461426,False
342,466.39831543,237.921875,False
343,393.95703125,223.920166016,False
344,403.410675049,195.562011719,False
345,414.732421875,239.327255249,False
346,414.248596191,241.904266357,False
347,413.273864746,246.433670044,False
348,362.0,284.0,True
349,356.0,272.0,False
350,355.999938965,272.999938965,True
351,356.999938965,272.999938965,False
352,355.999938965,272.999938965,True
353,359.0,274.0,False
354,270.579650879,392.636474609,False
355,264.417602539,454.878692627,False
356,269.525634766,460.854400635,False
357,420.0,250.0,False
358,525.06427002,193.258026123,False
359,514.401000977,190.808258057,False
360,253.215866089,145.222076416,False
361,456.880859375,356.322143555,True
362,536.835388184,261.621154785,False
363,486.628601074,193.851852417,False
364,248.999969482,264.999938965,True
365,174.999969482,246.999969482,False
366,176.0,205.0,True
367,104.0,133.0,False
368,479.0,639.0,False
369,479.0,639.0,False
370,479.0,639.0,False
371,479.0,639.0,False
372,479.0,639.0,False
373,479.0,639.0,False
374,479.0,639.0,False
375,479.0,639.0,False
376,91.0,256.0,False
377,260.999938965,322.999938965,False
378,287.999938965,324.999938965,True
379,470.352233887,263.774200439,False
380,378.0,350.0,True
381,301.289306641,182.979324341,False
382,301.32321167,182.434570312,False
383,246.467910767,264.800964355,True
384,246.927642822,262.675292969,True
385,297.104309082,183.534194946,False
386,239.32321167,267.526763916,True
387,246.863189697,265.052062988,True
388,462.126464844,227.232925415,False
389,378.0,479.0,False
390,447.602294922,374.198608398,True
391,476.501251221,339.353149414,False
392,462.211090088,356.787658691,True
393,479.0,320.0,False
394,413.794219971,269.189788818,False
395,309.741699219,274.42791748,True
396,318.295593262,278.037811279,True
397,310.015045166,269.653747559,True
398,312.427215576,271.74597168,True
399,304.48928833,272.589935303,True
400,302.720123291,267.867614746,True
401,281.999938965,478.999938965,False
402,585.99987793,478.999938965,True
403,479.0,207.0,False
404,479.0,223.0,False
405,479.0,373.0,True
406,479.0,447.0,True
407,479.0,445.0,True
408,514.99987793,478.999938965,True
409,479.0,507.0,True
